ID1,HHID,HVIDX,QHCLUSTER,QHNUMBER,QHHOME,PS94_1A,PS94_1M,PS94_1S,PS2
2021,      001311201,2,13,112,1,0,3,2,1
2021,      005402101,1,54,21,1,0,1,2,1
2021,      005402201,2,54,22,1,0,1,2,1
2021,      005404801,2,54,48,1,0,1,2,1
2021,      005405001,1,54,50,1,0,1,1,1
2021,      005405001,2,54,50,1,0,1,2,2
2021,      009400701,3,94,7,1,1,0,2,1
2021,      014101701,1,141,17,1,0,1,2,1
2021,      014105101,2,141,51,1,0,1,2,1
2021,      014105301,2,141,53,1,0,1,2,1
2021,      028203001,2,282,30,1,6,0,2,1
2021,      034000201,1,340,2,1,0,1,2,1
2021,      034000301,2,340,3,1,0,1,1,1
2021,      034000301,3,340,3,1,0,1,2,2
2021,      043500201,2,435,2,1,0,1,2,1
2021,      047412901,1,474,129,1,0,1,2,1
2021,      050000601,1,500,6,1,0,1,2,1
2021,      050000901,4,500,9,1,0,1,2,1
2021,      050002501,1,500,25,1,0,1,2,1
2021,      050002601,1,500,26,1,0,1,2,1
2021,      050002901,1,500,29,1,0,1,2,1
2021,      050004301,2,500,43,1,0,1,2,1
2021,      054101301,3,541,13,1,0,1,2,1
2021,      054101901,2,541,19,1,0,1,2,1
2021,      054107401,1,541,74,1,0,1,1,1
2021,      054107401,3,541,74,1,0,1,2,2
2021,      074112801,1,741,128,1,0,1,2,1
2021,      080414901,1,804,149,1,0,1,2,1
2021,      093806701,4,938,67,1,0,1,2,1
2021,      096805901,3,968,59,1,0,1,2,1
2021,      102508201,1,1025,82,1,1,0,2,1
2021,      104000101,1,1040,1,1,0,7,2,1
2021,      104001401,2,1040,14,1,0,8,2,1
2021,      109700501,1,1097,5,1,0,1,2,1
2021,      110612601,1,1106,126,1,1,6,1,1
2021,      110612601,6,1106,126,1,0,6,2,2
2021,      112810101,1,1128,101,1,1,0,2,1
2021,      113306801,1,1133,68,1,0,5,2,1
2021,      113309901,1,1133,99,1,0,2,2,1
2021,      113805001,3,1138,50,1,0,2,2,1
2021,      113906201,2,1139,62,1,0,3,2,1
2021,      114204401,1,1142,44,1,0,2,2,1
2021,      115604201,2,1156,42,1,0,3,1,1
2021,      115604201,3,1156,42,1,0,3,2,2
2021,      115605301,2,1156,53,1,1,5,2,1
2021,      121903501,2,1219,35,1,0,1,2,1
2021,      121907701,1,1219,77,1,0,2,1,1
2021,      121907701,2,1219,77,1,0,1,2,2
2021,      123406101,1,1234,61,1,0,1,2,1
2021,      124002401,2,1240,24,1,0,1,2,1
2021,      124004701,1,1240,47,1,0,1,2,1
2021,      124200301,1,1242,3,1,0,1,2,1
2021,      124201001,1,1242,10,1,0,1,2,1
2021,      124202501,1,1242,25,1,0,1,2,1
2021,      124203301,2,1242,33,1,0,1,2,1
2021,      124204301,2,1242,43,1,0,1,2,1
2021,      126401601,4,1264,16,1,0,1,2,1
2021,      126402201,1,1264,22,1,0,1,2,1
2021,      126403501,2,1264,35,1,0,1,2,1
2021,      137002801,1,1370,28,1,0,1,2,1
2021,      137003001,1,1370,30,1,0,1,2,1
2021,      137004501,2,1370,45,1,0,1,2,1
2021,      137809801,2,1378,98,1,0,1,2,1
2021,      137900801,2,1379,8,1,0,1,2,1
2021,      137902101,3,1379,21,1,0,1,2,1
2021,      137904801,2,1379,48,1,0,1,2,1
2021,      137905801,2,1379,58,1,0,1,2,1
2021,      137908701,1,1379,87,1,0,1,2,1
2021,      140702901,2,1407,29,1,0,1,2,1
2021,      140706101,1,1407,61,1,0,2,2,1
2021,      142309901,4,1423,99,1,0,1,2,1
2021,      155911301,1,1559,113,1,5,2,2,1
2021,      163907001,2,1639,70,1,0,1,1,1
2021,      163907001,3,1639,70,1,0,1,2,2
2021,      163908301,1,1639,83,1,0,1,1,1
2021,      163908301,2,1639,83,1,0,1,2,2
2021,      164313101,2,1643,131,1,0,1,2,1
2021,      165601301,1,1656,13,1,0,1,2,1
2021,      165605201,2,1656,52,1,0,1,2,1
2021,      165611101,2,1656,111,1,0,1,1,1
2021,      165611101,5,1656,111,1,0,1,2,2
2021,      165900301,1,1659,3,1,0,1,1,1
2021,      165900301,2,1659,3,1,0,1,2,2
2021,      165900401,1,1659,4,1,0,1,2,1
2021,      165902201,1,1659,22,1,0,1,2,1
2021,      165902301,1,1659,23,1,0,1,2,1
2021,      165902401,1,1659,24,1,0,1,2,1
2021,      166407901,2,1664,79,1,0,1,2,1
2021,      167213001,1,1672,130,1,0,1,2,1
2021,      168010201,1,1680,102,1,0,1,2,1
2021,      168010301,1,1680,103,1,0,1,2,1
2021,      168010401,1,1680,104,1,0,1,2,1
2021,      168010501,1,1680,105,1,0,1,2,1
2021,      168017701,1,1680,177,1,0,1,2,1
2021,      168017801,1,1680,178,1,0,1,2,1
2021,      168017901,1,1680,179,1,0,1,2,1
2021,      168018001,1,1680,180,1,0,1,2,1
2021,      168204701,2,1682,47,1,0,1,2,1
2021,      173806501,1,1738,65,1,0,1,1,1
2021,      173806501,2,1738,65,1,0,1,2,2
2021,      173806701,1,1738,67,1,0,1,1,1
2021,      173806701,2,1738,67,1,0,1,2,2
2021,      176406901,2,1764,69,1,0,1,2,1
2021,      176903401,1,1769,34,1,0,1,2,1
2021,      176903501,1,1769,35,1,0,1,1,1
2021,      176903501,4,1769,35,1,0,1,2,2
2021,      176903901,1,1769,39,1,0,1,2,1
2021,      176904001,2,1769,40,1,0,1,2,1
2021,      176906601,2,1769,66,1,0,1,2,1
2021,      176906701,3,1769,67,1,0,1,1,1
2021,      176906701,4,1769,67,1,0,1,1,2
2021,      176906701,5,1769,67,1,0,1,1,3
2021,      176906701,8,1769,67,1,0,1,2,4
2021,      176906801,1,1769,68,1,0,1,2,1
2021,      176906901,1,1769,69,1,0,1,2,1
2021,      177707401,2,1777,74,1,0,1,2,1
2021,      177708801,2,1777,88,1,0,1,2,1
2021,      178101801,8,1781,18,1,0,1,2,1
2021,      178103301,1,1781,33,1,0,1,2,1
2021,      178103601,2,1781,36,1,0,1,2,1
2021,      178104701,1,1781,47,1,0,1,2,1
2021,      179101301,2,1791,13,1,0,1,2,1
2021,      179101401,1,1791,14,1,0,1,2,1
2021,      179102201,2,1791,22,1,0,1,2,1
2021,      179106401,1,1791,64,1,0,1,2,1
2021,      179106501,1,1791,65,1,0,1,2,1
2021,      179109201,5,1791,92,1,0,1,2,1
2021,      179201201,2,1792,12,1,0,1,2,1
2021,      179201301,2,1792,13,1,0,1,2,1
2021,      179505801,5,1795,58,1,0,1,2,1
2021,      186901401,2,1869,14,1,0,1,2,1
